metric,r_phq,p_phq,r_gad,p_gad
rot_speed_avg_total,-0.06029172793134793,0.7117079168345599,0.04816301839382088,0.7679008410389456
circ_sd_mean,0.22896717021646998,0.15527155345743573,0.4099057892175568,0.008618833968573106
