video,mean,std,min,max,count
v1,39.080886250000006,10.83879294211157,12.33715,57.12766,40
v2,32.752122150000005,9.092253545817565,8.491126,50.31574,40
v3,34.87487925,10.474723620039939,13.65634,54.25613,40
v4,24.1684944,11.07633429284846,5.921618,52.11426,40
v5,31.030406,11.305344046111227,12.71179,56.90908,40
